year,position,team,points,games,victories,draws,losses,goals_scored,goals_against,goals_difference,total_points,percentage_win
2003,1,Cruzeiro,100,46,31,7,8,102,47,55,138,"72,46"
2003,2,Santos,87,46,25,12,9,93,60,33,138,"63,04"
2003,3,São Paulo,78,46,22,12,12,81,67,14,138,"56,52"
2003,4,São Caetano,74,46,19,14,13,53,37,16,138,"53,62"
2003,5,Coritiba,73,46,21,10,15,67,58,9,138,"52,9"
2003,6,Internacional,72,46,20,10,16,59,57,2,138,"52,17"
2003,7,Atlético Mineiro,72,46,19,15,12,76,62,14,138,"52,17"
2003,8,Flamengo,66,46,18,12,16,66,73,-7,138,"47,83"
2003,9,Goiás,65,46,18,11,17,78,63,15,138,"47,1"
2003,10,Paraná,65,46,18,11,17,85,75,10,138,"47,1"
2003,11,Figueirense,65,46,17,14,15,62,54,8,138,"47,1"
2003,12,Atlético Paranaense,61,46,17,10,19,67,72,-5,138,"44,2"
2003,13,Guarani,61,46,17,10,19,64,72,-8,138,"44,2"
2003,14,Criciúma,60,46,17,9,20,57,69,-12,138,"43,48"
2003,15,Corinthians,59,46,15,12,19,61,63,-2,138,"42,75"
2003,16,Vitória,56,46,15,11,20,50,64,-14,138,"40,58"
2003,17,Vasco da Gama,54,46,13,15,18,57,69,-12,138,"39,13"
2003,18,Juventude,53,46,12,14,20,55,70,-15,138,"38,41"
2003,19,Fluminense,52,46,13,11,22,52,77,-25,138,"37,68"
2003,20,Grêmio,50,46,13,11,22,54,68,-12,138,"36,23"
2003,21,Ponte Preta,50,46,11,18,17,63,73,-10,138,"36,23"
2003,22,Paysandu,49,46,15,12,19,74,77,-3,138,"35,51"
2003,23,Fortaleza,49,46,12,13,21,58,74,-16,138,"35,51"
2003,24,Bahia,46,46,12,10,24,59,92,-33,138,"33,33"
2004,1,Santos,89,46,27,8,11,103,58,45,138,"64,49"
2004,2,Atlético Paranaense,86,46,25,11,10,93,56,37,138,"62,32"
2004,3,São Paulo,82,46,24,10,12,78,43,35,138,"59,42"
2004,4,Palmeiras,79,46,22,13,11,72,47,25,138,"57,25"
2004,5,Corinthians,74,46,20,14,12,54,54,0,138,"53,62"
2004,6,Goiás,72,46,21,9,16,81,68,13,138,"52,17"
2004,7,Juventude,70,46,20,10,16,60,66,-6,138,"50,72"
2004,8,Internacional,67,46,20,7,19,66,59,7,138,"48,55"
2004,9,Fluminense,67,46,18,13,15,65,68,-3,138,"48,55"
2004,10,Ponte Preta,64,46,19,7,20,43,73,-30,138,"46,38"
2004,11,Figueirense,63,46,17,12,17,57,59,-2,138,"45,65"
2004,12,Coritiba,62,46,15,17,14,53,48,-5,138,"44,93"
2004,13,Cruzeiro,56,46,16,8,22,69,81,-12,138,"40,58"
2004,14,Paysandu,56,46,14,14,18,56,76,-20,138,"40,58"
2004,15,Paraná,54,46,15,9,22,52,73,-21,138,"39,13"
2004,16,Vasco da Gama,54,46,14,12,20,64,68,-4,138,"39,13"
2004,17,Flamengo,54,46,13,15,18,51,53,-2,138,"39,13"
2004,18,São Caetano,53,46,23,8,15,65,49,15,138,"38,41"
2004,19,Atlético Mineiro,53,46,12,17,17,60,66,-6,138,"38,41"
2004,20,Botafogo,51,46,11,18,17,62,71,-9,138,"36,96"
2004,21,Criciúma,50,46,13,11,22,61,78,-17,138,"36,23"
2004,22,Guarani,49,46,11,16,19,43,55,-12,138,"35,51"
2004,23,Vitória,48,46,13,9,24,68,87,-19,138,"34,78"
2004,24,Grêmio,39,46,9,12,25,60,80,-20,138,"28,26"
2005,1,Corinthians,81,42,24,9,9,87,59,28,126,"64,29"
2005,2,Internacional,78,42,23,9,10,72,49,23,126,"61,9"
2005,3,Goiás,74,42,22,8,12,68,41,27,126,"58,73"
2005,4,Palmeiras,70,42,20,10,12,81,65,16,126,"55,56"
2005,5,Fluminense,68,42,19,11,12,79,70,9,126,"53,97"
2005,6,Atlético Paranaense,61,42,18,7,17,76,67,9,126,"48,41"
2005,7,Paraná,61,42,17,10,15,59,51,8,126,"48,41"
2005,8,Cruzeiro,60,42,17,9,16,73,72,1,126,"47,62"
2005,9,Botafogo,59,42,17,8,17,57,56,1,126,"46,83"
2005,10,Santos,59,42,16,11,15,68,71,-3,126,"46,83"
2005,11,São Paulo,58,42,16,10,16,77,67,10,126,"46,03"
2005,12,Vasco da Gama,56,42,15,11,16,74,84,-10,126,"44,44"
2005,13,Fortaleza,55,42,16,7,19,58,64,-6,126,"43,65"
2005,14,Juventude,55,42,15,10,17,66,72,-6,126,"43,65"
2005,15,Flamengo,55,42,14,13,15,56,60,-4,126,"43,65"
2005,16,Figueirense,53,42,14,11,17,65,72,-7,126,"42,06"
2005,17,São Caetano,52,42,14,10,18,54,60,-6,126,"41,27"
2005,18,Ponte Preta,51,42,15,6,21,63,80,-17,126,"40,48"
2005,19,Coritiba,49,42,13,10,19,51,60,-9,126,"38,89"
2005,20,Atlético Mineiro,47,42,13,8,21,54,59,-5,126,"37,3"
2005,21,Paysandu,41,42,12,5,25,63,92,-29,126,"32,54"
2005,22,Brasiliense,41,42,10,11,21,47,67,-20,126,"32,54"
2006,1,São Paulo,78,38,22,12,4,66,32,34,114,"68,42"
2006,2,Internacional,69,38,20,9,9,52,36,16,114,"60,53"
2006,3,Grêmio,67,38,20,7,11,64,45,19,114,"58,77"
2006,4,Santos,64,38,18,10,10,58,36,22,114,"56,14"
2006,5,Paraná,60,38,18,6,14,56,49,7,114,"52,63"
2006,6,Vasco da Gama,59,38,15,14,9,57,50,7,114,"51,75"
2006,7,Figueirense,57,38,15,12,11,52,44,8,114,50
2006,8,Goiás,55,38,15,10,13,63,49,14,114,"48,25"
2006,9,Corinthians,53,38,15,8,15,41,46,-5,114,"46,49"
2006,10,Cruzeiro,53,38,14,11,13,52,45,7,114,"46,49"
2006,11,Flamengo,52,38,15,7,16,44,48,4,114,"45,61"
2006,12,Botafogo,51,38,13,12,13,52,50,2,114,"44,74"
2006,13,Atlético Paranaense,48,38,13,9,16,61,62,1,114,"42,11"
2006,14,Juventude,47,38,13,8,17,44,54,-10,114,"41,23"
2006,15,Fluminense,45,38,11,12,15,48,58,-10,114,"39,47"
2006,16,Palmeiras,44,38,12,8,18,58,70,-12,114,"38,6"
2006,17,Ponte Preta,39,38,10,9,19,45,65,-20,114,"34,21"
2006,18,Fortaleza,38,38,8,14,16,39,62,-23,114,"33,33"
2006,19,São Caetano,36,38,9,9,20,37,53,-16,114,"31,58"
2006,20,Santa Cruz,28,38,7,7,24,41,76,-35,114,"24,56"
2007,1,São Paulo,77,38,23,8,7,55,19,36,114,"67,54"
2007,2,Santos,62,38,19,5,14,57,47,10,114,"54,39"
2007,3,Flamengo,61,38,17,10,11,55,49,6,114,"53,51"
2007,4,Fluminense,61,38,16,13,9,57,39,18,114,"53,51"
2007,5,Cruzeiro,60,38,18,6,14,73,58,15,114,"52,63"
2007,6,Grêmio,58,38,17,7,14,44,43,1,114,"50,88"
2007,7,Palmeiras,58,38,16,10,12,48,47,1,114,"50,88"
2007,8,Atlético Mineiro,55,38,15,10,13,63,51,12,114,"48,25"
2007,9,Botafogo,55,38,14,13,11,62,58,4,114,"48,25"
